,timestamp,open,high,low,close,adjusted close,volume,dividend amount
122,2012-05-31,584.9,596.76,522.18,577.73,17.6397,396655200,0.0
123,2012-04-30,601.83,644.0,555.0,583.98,17.8305,557106800,0.0
124,2012-03-30,548.17,621.45,516.221,599.55,18.3059,556583500,0.0
125,2012-02-29,458.41,547.61,453.98,542.44,16.5622,406019800,0.0
126,2012-01-31,409.4,458.24,409.0,456.48,13.9376,244994800,0.0
127,2011-12-30,382.54,409.09,377.68,405.0,12.3658,225233300,0.0
128,2011-11-30,397.41,408.0,363.32,382.2,11.6696,320132200,0.0
129,2011-10-31,380.37,426.7,354.24,404.78,12.3591,469336700,0.0
130,2011-09-30,385.82,422.86,366.48,381.32,11.6428,427766000,0.0
131,2011-08-31,397.78,399.5,353.02,384.83,11.7499,576521400,0.0
132,2011-07-29,335.95,404.5,334.2,390.48,11.9224,380498100,0.0
133,2011-06-30,348.87,352.132,310.5,335.67,10.2489,330851800,0.0
134,2011-05-31,349.74,351.83,329.42,347.83,10.6202,246859300,0.0
135,2011-04-29,351.11,355.13,320.16,350.13,10.6904,330493900,0.0
136,2011-03-31,355.47,361.67,326.26,348.5075,10.6409,403802100,0.0
137,2011-02-28,341.3,364.9,337.72,353.21,10.7845,331998200,0.0
138,2011-01-31,325.64,348.6,324.8365,339.32,10.3604,387197700,0.0
139,2010-12-31,315.27,326.66,314.89,322.56,9.8487,249044100,0.0
140,2010-11-30,302.22,321.3,297.76,311.15,9.5003,339574500,0.0
141,2010-10-29,283.75,319.0,277.77,300.98,9.1898,436949200,0.0
142,2010-09-30,247.47,294.73,246.28,283.75,8.6637,423211400,0.0
143,2010-08-31,260.44,264.28,235.56,243.1,7.4225,342468600,0.0
144,2010-07-30,254.3,265.99,239.6,257.25,7.8546,559632300,0.0
145,2010-06-30,259.69,279.01,242.2,251.53,7.6799,594687600,0.0
146,2010-05-28,263.84,267.88,199.25,256.88,7.8433,645809100,0.0
147,2010-04-30,237.49,272.46,232.75,261.09,7.9718,441683200,0.0
148,2010-03-31,205.75,237.48,205.45,235.0,7.1752,434077600,0.0
149,2010-02-26,192.37,205.17,190.85,204.62,6.2476,384860000,0.0
150,2010-01-29,213.43,215.59,190.25,192.063,5.8642,541749800,0.0
151,2009-12-31,202.24,213.95,188.68,210.732,6.4342,406927100,0.0
152,2009-11-30,189.8,208.0,185.57,199.91,6.1038,301956600,0.0
153,2009-10-30,185.35,208.7099,180.7,188.5,5.7554,462720600,0.0
154,2009-09-30,167.99,188.9,164.11,185.35,5.6593,356761400,0.0
155,2009-08-31,165.21,172.49,159.42,168.21,5.1359,291611600,0.0
156,2009-07-31,143.5,165.0,134.42,163.39,4.9888,390790600,0.0
157,2009-06-30,136.47,146.4,132.88,142.43,4.3488,452699000,0.0
158,2009-05-29,125.8,135.9,119.38,135.81,4.1467,337755100,0.0
159,2009-04-30,104.09,127.2,103.89,125.83,3.8419,422202900,0.0
160,2009-03-31,89.31,109.98,82.33,105.12,3.2096,550878500,0.0
161,2009-02-27,89.1,103.0,86.51,89.31,2.7269,495266100,0.0
